"key","title","year","month","day","journal","issn","volume","issue","pages","authors","url","language","publisher","location","abstract","doi","keywords","pubmed_id","pmc_id","notes"
"rayyan-176872845","The Neurocognitive Basis of Morphological Processing in Typical and Impaired Readers",NA,1,1,"","",72,2,"","","","eng","",NA,"Morphological awareness, or sensitivity to units of meaning, is an essential component of reading comprehension development. Current neurobiological models of reading and dyslexia have largely been built upon phonological processing models, yet reading for meaning is as essential as reading for sound. To fill this gap, the present study explores the relation between children's neural organization for morphological awareness and successful reading comprehension in typically developing and impaired readers. English-speaking children ages 6-11 (N = 97; mean age = 8.6 years, 25% reading impaired) completed standard literacy assessments as well as an auditory morphological awareness task during functional near-infrared spectroscopy (fNIRS) neuroimaging, which included root (e.g., PERSON + al) and derivational (e.g., quick + LY) morphology. Regression analyses revealed that children's morphological awareness predicted unique variance in reading comprehension above and beyond demographic factors, vocabulary knowledge, and decoding ability. Neuroimaging analyses further revealed that children with stronger reading comprehension showed greater engagement of brain regions associated with integrating sound and meaning, including left inferior frontal, middle temporal, and inferior parietal regions. This effect was especially notable for the derivational morphology condition that involved manipulating more analytically demanding and semantically abstract units (e.g., un-, -ly, -ion). Together, these findings suggest that successful reading comprehension, and its deficit in dyslexia, may be related to the ability to manipulate morpho-phonological units of word meaning and structure. These results inform theoretical perspectives on literacy and children's neural architecture for learning to read.","10.1007/s11881-021-00239-9","",NA,NA,"RAYYAN-INCLUSION: {""rater3""=>""Excluded""}"
"rayyan-176872853","Understanding Interest and Self-Efficacy in the Reading and Writing of Students with Persisting Specific Learning Disabilities during Middle Childhood and Early Adolescence",NA,1,1,"","",3,1,"","","","eng","",NA,"Three methodological approaches were applied to understand the role of interest and self-efficacy in reading and/or writing in students without and with persisting specific learning disabilities (SLDs) in literacy. For each approach students in grades 4 to 9 completed a survey in which they rated 10 reading items and 10 writing items on a Scale 1 to 5; all items were the same but domain varied. The first approach applied Principal Component Analysis with Varimax Rotation to a sample that varied in specific kinds of literacy achievement. The second approach applied bidirectional multiple regressions in a sample of students with diagnosed SLDs-WL to (a) predict literacy achievement from ratings on interest and self-efficacy survey items; and (b) predict ratings on interest and self-efficacy survey items from literacy achievement. The third approach correlated ratings on the surveys with BOLD activation on an fMRI word reading/spelling task in a brain region associated with approach/avoidance and affect in a sample with diagnosed SLDs-WL. The first approach identified two components for the reading items (each correlated differently with reading skills) and two components for the writing items (each correlated differently with writing skills), but the components were not the same for both domains. Multiple regressions supported predicting interest and self-efficacy ratings from current reading achievement, rather than predicting reading achievement from interest and self-efficacy ratings, but also bidirectional relationships between interest or self-efficacy in writing and writing achievement. The third approach found negative correlations with amygdala connectivity for 2 reading items, but 5 positive and 2 negative correlations with amygdala connectivity for writing items; negative correlations may reflect avoidance and positive correlations approach. Collectively results show the relevance and domain-specificity of interest and self-efficacy in reading and writing for students with persisting SLDs in literacy.","","",NA,NA,"RAYYAN-INCLUSION: {""rater3""=>""Excluded""}"
"rayyan-176872854","Characterizing the Knowledge of Educators Receiving Training in Systematic Literacy Instruction",NA,1,1,"","",69,1,"","","","eng","",NA,"Addressing the needs of students with dyslexia requires an in-depth knowledge of various components of a multi-dimensional approach to reading intervention, which is supported by an understanding of the structure of the language being taught. The current study explored the association between teacher knowledge of the English language and different stages of training provided through 2-year courses that meet the objectives of the International Dyslexia Association (IDA) standards of teacher knowledge and practice. It included 347 K-12 licensed teachers who were at various stages of training when they completed a test of knowledge in the areas of Phonological Sensitivity, Phonemic Awareness, Decoding, Spelling, and Morphology. The level of terminal degree (i.e., BA or MA) held by participating teachers and their amount of teaching experience did not predict performance on the test. In contrast, participating teachers differed in their level of knowledge as a function of how much training they had received as part of a 2-year course. Increased training was associated with elevated levels of knowledge. Moreover, teachers who completed the 2-year training program and went on to obtain certification through a national certifying organization had reliably greater knowledge than those who had not. Additionally, the weakest domains of knowledge across all teachers were in spelling and morphology, suggesting a need for improved training in these domains, given that they are identified deficiencies for persistently poor responders to reading intervention and in children presenting with late emerging forms of reading disability.","10.1007/s11881-018-00174-2","",NA,NA,"RAYYAN-INCLUSION: {""rater1""=>""Excluded"", ""rater2""=>""Excluded"", ""rater3""=>""Excluded""} | RAYYAN-LABELS: bloque 1 | USER-NOTES: {""rater1""=>[""lo mismo no se evalua los niños""]}"
"rayyan-176872859","Perception of Stop Onset Spectra in Chinese Children with Phonological Dyslexia",NA,1,1,"","",18,4,"","","","eng","",NA,"The ability to identify stop consonants from brief onset spectra was compared between a group of Chinese children with phonological dyslexia (the PD group, with a mean age of 10 years 4 months) and a group of chronological age-matched control children. The linguistic context, which included vowels and speakers, and durations of stop onset spectra were varied. Children with PD showed lower identification accuracy and exhibited a smaller vowel context effect for some stop-vowel combinations compared with the chronological age-matched control group. Further analyses revealed that the PD group had more variable response patterns, and their responses were less consistent with the acoustic characteristics of stop onset spectra. The results suggest that Chinese children with PD do not show greater sensitivity to allophonic acoustic variability compared with control children and exhibit a generally less robust response pattern to phonetic categories. (Contains 2 tables and 3 figures.)","10.1002/dys.1445","",NA,NA,"RAYYAN-INCLUSION: {""rater3""=>""Excluded""}"
"rayyan-176872863","Statistical Learning of Speech Sounds in Dyslexic and Typical Reading Children",NA,1,1,"","",23,1,"","","","eng","",NA,"Statistical learning has been proposed to underlie the developmental transition during infancy from allophonic to phonemic speech sound perception. Based on this, it can be hypothesized that in dyslexic individuals, core phonemic representation deficits arise from reduced sensitivity to the statistical distribution of sounds. This study aims to investigate (a) whether statistical learning contributes to the construction of phonemic representations in typical readers, and (b) whether deficits in statistical learning underlie dyslexia. Fifty-eight children performed an identification task of a non-native phonetic contrast, before and after exposure to the sounds of the continuum. Our results suggest that the statistical distribution of the presented sounds implicitly enhanced the formation of phonemic representations and that dyslexic readers make less use of the statistical cues embedded in oral language, resulting in less distinct phonemic categories and thus a higher risk for failing to establish robust connections between these and written language.","10.1080/10888438.2018.1473404","",NA,NA,"RAYYAN-INCLUSION: {""rater3""=>""Included""}"
"rayyan-176872868","Size Does Not Matter, Frequency Does: Sensitivity to Orthographic Neighbors in Normal and Dyslexic Readers",NA,1,1,"","",106,2,"","","","eng","",NA,"This study examined the influence of the number of orthographically similar candidates, neighborhood size, on the word and pseudoword naming performance of normal, dyslexic, and beginning readers. Participants were 23 Dutch dyslexic fourth-graders matched to 23 fourth-grade chronological age controls and 17 second-grade reading age controls. Unexpectedly, neighborhood size had similar effects in all groups: It did not affect word naming and facilitated the naming of pseudowords. However, the presence of a high-frequency neighbor had different effects. In contrast to normal readers, words with a high-frequency neighbor were named more slowly by beginning and dyslexic readers. These findings suggest a dissociation between global and specific effects of neighbor words. Nevertheless, both findings seem to be compatible with the view that orthographic representations of beginning and dyslexic children are not (yet) sufficiently specified. (Contains 4 tables.)","10.1016/j.jecp.2010.01.004","",NA,NA,"RAYYAN-INCLUSION: {""rater3""=>""Excluded""}"
"rayyan-176872869","Making Higher Education More Accessible. The Development of a Dyslexia Information Pack.",NA,1,1,"","",2,1,"","","","eng","",NA,"Research on making higher education more accessible for learners with dyslexia was used to create an information pack for adult learners and teachers. The pack includes information on dyslexia, study skills, university support, assessment, transition, color sensitivity and resources; it provides screening and support information for academic staff. (SK)","","",NA,NA,"RAYYAN-INCLUSION: {""rater3""=>""Excluded""}"
"rayyan-176872870","Symbol-String Sensitivity and Children's Reading",NA,1,1,"","",89,3,"","","","eng","",NA,"In this study of primary school children, a novel ""symbol-string"" task is used to assess sensitivity to the position of briefly presented non-alphabetic but letter-like symbols. The results demonstrate that sensitivity in the symbol-string task explains a unique proportion of the variability in children's contextual reading accuracy. Moreover, developmental dyslexic readers show reduced sensitivity in this task, compared to chronological age controls. The results suggest that limitations set by visuo-spatial processes and/or attentional iconic memory resources may constrain children's reading accuracy.","10.1016/j.bandl.2004.01.009","",NA,NA,""
"rayyan-176872871","Neural Evidence of Allophonic Perception in Children at Risk for Dyslexia",NA,1,1,"","",50,8,"","","","eng","",NA,"Learning to read is a complex process that develops normally in the majority of children and requires the mapping of graphemes to their corresponding phonemes. Problems with the mapping process nevertheless occur in about 5% of the population and are typically attributed to poor phonological representations, which are--in turn--attributed to underlying speech processing difficulties. We examined auditory discrimination of speech sounds in 6-year-old beginning readers with a familial risk of dyslexia (""n"" = 31) and no such risk (""n"" = 30) using the mismatch negativity (MMN). MMNs were recorded for stimuli belonging to either the same phoneme category (acoustic variants of /b[schwa]/) or different phoneme categories (/b[schwa]/ vs. /d[schwa]/). Stimuli from different phoneme categories elicited MMNs in both the control and at-risk children, but the MMN amplitude was clearly lower in the at-risk children. In contrast, the stimuli from the same phoneme category elicited an MMN in only the children at risk for dyslexia. These results show children at risk for dyslexia to be sensitive to acoustic properties that are irrelevant in their language. Our findings thus suggest a possible cause of dyslexia in that they show 6-year-old beginning readers with at least one parent diagnosed with dyslexia to have a neural sensitivity to speech contrasts that are irrelevant in the ambient language. This sensitivity clearly hampers the development of stable phonological representations and thus leads to significant reading impairment later in life. (Contains 3 tables and 2 figures.)","10.1016/j.neuropsychologia.2012.04.026","",NA,NA,""
"rayyan-176872874","Characterizing the Knowledge of Educators across the Tiers of Instructional Support",NA,1,1,"","",72,1,"","","","eng","",NA,"Translating the research base on effective reading instruction to the classroom has been a challenge. The delivery of these instructional methods requires practical skills coupled with an understanding of the aspects of language being taught. The purpose of this study was to explore the level of literacy knowledge of the English language held by educators who provide instruction to students in the primary grades. Data from 1369 classroom teachers, 74 reading interventionists, and 131 special educators comprising the analytic sample were collected as part of a training initiative in a US state. Participating educators completed a 50-item test of phonological sensitivity, phonemic awareness, decoding, encoding, and morphology. Multiple regression analyses confirmed differences in the levels of knowledge observed between the groups of educators. Reading interventionists demonstrated greater knowledge than classroom teachers and special educators in the total proportion of correct responses and across each domain. Classroom teachers demonstrated greater knowledge than special educators in phonological sensitivity and decoding but did not differ from each other in phonemic awareness, encoding, or morphology knowledge. Special educators provide intervention to students with the most severe forms of reading disabilities, yet they had the lowest level of knowledge. In contrast, reading interventionists, who provide intervention within general education, had the highest levels of knowledge. These findings suggest a need to elevate the knowledge of special educators and consider reading interventionists' role in supporting students identified with a specific learning disability in reading.","10.1007/s11881-021-00242-0","",NA,NA,"RAYYAN-INCLUSION: {""rater1""=>""Excluded"", ""rater2""=>""Excluded"", ""rater3""=>""Excluded""} | RAYYAN-LABELS: bloque 1 | USER-NOTES: {""rater1""=>[""no evalua los niños""]}"
"rayyan-176872875","Anchoring the Deficit of the Anchor Deficit: Dyslexia or Attention?",NA,1,1,"","",16,2,"","","","eng","",NA,"In the anchoring deficit hypothesis of dyslexia (""Trends Cogn. Sci."", 2007; 11: 458-465), it is proposed that perceptual problems arise from the lack of forming a perceptual anchor for repeatedly presented stimuli. A study designed to explicitly test the specificity of the anchoring deficit for dyslexia is presented. Four groups, representing all combinations of reading skills (high or low) and attention (high or low), were given a time estimation task in which a standard tone was compared with tones of varying length. Poor readers showed problems only if they had limited attentional skills as well, while poor readers with good attention were unaffected. It is concluded that a single deficit in time estimation is not sufficient to cause reading deficits. (Contains 1 table and 1 figure.)","10.1002/dys.404","",NA,NA,"RAYYAN-INCLUSION: {""rater1""=>""Excluded"", ""rater2""=>""Excluded"", ""rater3""=>""Included""} | RAYYAN-LABELS: bloque 1 | USER-NOTES: {""rater1""=>[""por comorbilidad""]}"
"rayyan-176872879","Dynamic Visual Perception and Reading Development in Chinese School Children",NA,1,1,"","",61,2,"","","","eng","",NA,"The development of reading skills may depend to a certain extent on the development of basic visual perception. The magnocellular theory of developmental dyslexia assumes that deficits in the magnocellular pathway, indicated by less sensitivity in perceiving dynamic sensory stimuli, are responsible for a proportion of reading difficulties experienced by dyslexics. Using a task that measures coherent motion detection threshold, this study examined the relationship between dynamic visual perception and reading development in Chinese children. Experiment 1 compared the performance of 27 dyslexics and their age- and IQ-matched controls in the coherent motion detection task and in a static pattern perception task. Results showed that only in the former task did the dyslexics have a significantly higher threshold than the controls, suggesting that Chinese dyslexics, like some of their Western counterparts, may have deficits in magnocellular pathway. Experiment 2 examined whether dynamic visual processing affects specific cognitive processes in reading. One hundred fifth-grade children were tested on visual perception and reading-related tasks. Regression analyses found that the motion detection threshold accounted for 11% and 12%, respectively, variance in the speed of orthographic similarity judgment and in the accuracy of picture naming after IQ and vocabulary size were controlled. The static pattern detection threshold could not account for any variance. It is concluded that reading development in Chinese depends to a certain extent on the development of dynamic visual perception and its underlying neural pathway and that the impact of visual development can be specifically related to orthographic processing in reading Chinese.","10.1007/s11881-010-0049-2","",NA,NA,"RAYYAN-INCLUSION: {""rater1""=>""Excluded"", ""rater2""=>""Excluded"", ""rater3""=>""Excluded""} | RAYYAN-LABELS: bloque 1"
